"Start,""Stop"",""Strand"""
"419591,420910,""+"""
"420986,422359,""+"""
"422518,424332,""+"""
"424337,424918,""-"""
"425011,426081,""+"""
"426137,427264,""+"""
"427287,427619,""+"""
"427647,429494,""+"""
"429505,430476,""+"""
"430605,430952,""+"""
"431129,432013,""-"""
"432312,432851,""-"""
"433002,433451,""+"""
"433455,434558,""+"""
"434647,435117,""+"""
"435137,435556,""+"""
"435634,436611,""+"""
"436589,437107,""+"""
"437161,438135,""-"""
"438315,440177,""-"""
"440202,441101,""-"""
"441101,441343,""-"""
"441549,442997,""+"""
"443051,443641,""-"""
"443604,444515,""-"""
"444683,445174,""+"""
"445302,446666,""-"""
"446815,447705,""-"""
"447717,448046,""-"""
"448046,448660,""-"""
"448650,450641,""-"""
"450663,451610,""-"""
"452070,453545,""-"""
"453589,454167,""-"""
"454472,454789,""+"""
"455133,456431,""+"""
"456677,457300,""+"""
"457426,458700,""+"""
"458888,461242,""+"""
"461451,461723,""+"""
"461915,463786,""+"""
"463937,464308,""+"""
"464402,464800,""+"""
"464852,465547,""-"""
"465612,467312,""-"""
"467412,468230,""+"""
"468383,468841,""+"""
"468871,470643,""+"""
"470636,472417,""+"""
"472598,472936,""+"""
"472966,474252,""+"""
"474301,475161,""-"""
"475379,475951,""+"""
"475982,476371,""-"""
"476672,477025,""+"""
"477067,478617,""-"""
"478781,479251,""-"""
"479367,479918,""-"""
"480090,480308,""-"""
"480334,480708,""-"""
"481254,484403,""-"""
"484426,485619,""-"""
"485761,486408,""+"""
"486536,489898,""+"""
"490110,490271,""-"""
"490285,490812,""-"""
"490882,491259,""+"""
"491412,491963,""+"""
"492092,494023,""+"""
"494076,494405,""+"""
"494405,495010,""+"""
"495120,496994,""+"""
"497175,497819,""+"""
"498055,499017,""+"""
"499014,499973,""-"""
"500125,501429,""+"""
"501562,503238,""-"""
"503476,504696,""-"""
"504914,506566,""+"""
"506603,507082,""-"""
"507286,508080,""-"""
"508218,508559,""+"""
"508875,511379,""-"""
"511641,512573,""+"""
"512576,513868,""+"""
"513993,514400,""+"""
"514401,514859,""-"""
"514856,515773,""-"""
"515919,516596,""+"""
"516583,517362,""+"""
"517425,518279,""-"""
"518340,519149,""-"""
"519139,519765,""-"""
"519733,520419,""+"""
"520416,522830,""+"""
"523261,527541,""+"""
"527581,527949,""+"""
"530132,531226,""-"""
"531295,532221,""-"""
"532451,532933,""+"""
"533011,533826,""+"""
"533916,535697,""+"""
"535710,536486,""+"""
"536586,537464,""+"""
"537633,539087,""+"""
"539147,540508,""+"""
"540565,541866,""+"""
"541888,543033,""+"""
"543261,544046,""-"""
"544057,545292,""-"""
"545314,546363,""-"""
"546680,548347,""+"""
"548357,549616,""+"""
"549627,550442,""+"""
"550439,551332,""+"""
"551527,552594,""-"""
"552591,553100,""-"""
"553218,553940,""-"""
"553943,554437,""-"""
"554611,555996,""+"""
"556032,556553,""-"""
"556661,556873,""-"""
"556875,557741,""-"""
"558212,558754,""+"""
"558974,559666,""+"""
"559697,562300,""+"""
"562336,563319,""+"""
"563330,563845,""+"""
"563848,564480,""-"""
"564815,565978,""-"""
"566842,567141,""+"""
"567138,568004,""+"""
"568315,568647,""+"""
"568902,570428,""+"""
"570893,571444,""+"""
"571454,572251,""+"""
"572368,572469,""+"""
"572466,572921,""+"""
"572921,573091,""+"""
"573084,573374,""+"""
"573371,573733,""+"""
"573730,573870,""+"""
"573956,574339,""+"""
"574737,575753,""-"""
"577398,577613,""+"""
"577613,578110,""+"""
"578107,578568,""+"""
"578327,578509,""+"""
"578600,578893,""-"""
"579184,579594,""-"""
"579880,580086,""+"""
"580251,580445,""-"""
"580834,581379,""+"""
"583681,584430,""+"""
"584680,585633,""-"""
"586147,586908,""-"""
"587091,587981,""-"""
"587982,590954,""-"""
"590941,593178,""-"""
"593328,594770,""-"""
"594760,595443,""-"""
"595600,596973,""+"""
"597131,597463,""+"""
"597479,598702,""+"""
"598714,601857,""+"""
"601959,603335,""+"""
"603416,604663,""-"""
"604771,605424,""-"""
"605518,605886,""-"""
"605951,606199,""-"""
"606265,607383,""-"""
"607836,607988,""+"""
"608065,609177,""+"""
"609459,610079,""-"""
"610254,612494,""-"""
"612737,613939,""+"""
"613942,614160,""+"""
"614157,618038,""+"""
"618254,619387,""+"""
"619384,620199,""-"""
"620196,621188,""-"""
"621185,622189,""-"""
"622300,623550,""+"""
"623554,624510,""-"""
"624885,626060,""+"""
"626070,627680,""+"""
"627694,628551,""+"""
"628551,629297,""+"""
"629300,629713,""+"""
"629894,631999,""+"""
"632182,632379,""+"""
"632389,633477,""-"""
"633586,634746,""+"""
"634747,635376,""-"""
"635349,636569,""-"""
"636716,637618,""-"""
"637827,638573,""-"""
"638945,639508,""+"""
"639753,641318,""+"""
"641439,641867,""-"""
"642088,643326,""+"""
"643557,643967,""-"""
"644197,645003,""-"""
"645117,646580,""-"""
"646631,647509,""-"""
"647484,648035,""-"""
"648039,649571,""-"""
"649582,650490,""-"""
"650487,650783,""-"""
"650798,651856,""-"""
"652235,653893,""+"""
"653862,654542,""+"""
"654583,655968,""-"""
"656557,657117,""+"""
"657292,657501,""+"""
"657555,657938,""-"""
"658947,659150,""+"""
"659251,660216,""-"""
"660425,661378,""-"""
"661637,662278,""-"""
"662379,662642,""-"""
"662752,663963,""-"""
"664102,665190,""-"""
"665201,666313,""-"""
"666316,668217,""-"""
"668248,668715,""-"""
"668719,669036,""-"""
"669296,669907,""-"""
"669931,670572,""-"""
"670574,671605,""-"""
"671605,672186,""-"""
"672201,674783,""-"""
"675018,675500,""+"""
"675570,676547,""-"""
"676711,677418,""+"""
"677415,678842,""+"""
"678852,679406,""-"""
"679508,680215,""+"""
"680212,681663,""+"""
"681723,683393,""-"""
"683477,684412,""-"""
"684530,685255,""-"""
"685255,685929,""-"""
"685929,686669,""-"""
"686839,687747,""-"""
"687997,689013,""-"""
"689343,690881,""-"""
"690906,691784,""-"""
"691874,692341,""-"""
"692338,693378,""-"""
"693531,694955,""-"""
"695101,696276,""+"""
"697513,699177,""-"""
"699574,700326,""-"""
"700374,701594,""-"""
"701603,702751,""-"""
"702811,703611,""-"""
"703944,705890,""+"""
"706093,707757,""+"""
"708334,709740,""+"""
"709790,710116,""+"""
"710200,710646,""-"""
"710639,710725,""-"""
"710935,711465,""-"""
"711605,711898,""-"""
"712038,712802,""-"""
"712987,713532,""+"""
"713558,715198,""+"""
"715412,715906,""+"""
"716946,718265,""-"""
"718262,720460,""-"""
"720583,720840,""+"""
"721056,721733,""-"""
"721730,724414,""-"""
"724407,724979,""-"""
"724988,727036,""-"""
"727059,728732,""-"""
"728732,728821,""-"""
"729134,729340,""+"""
"729583,733776,""+"""
"733776,734102,""+"""
"735650,736219,""+"""
"738092,738853,""+"""
"739001,739510,""+"""
"739507,740925,""+"""
"741075,742556,""-"""
"742827,743570,""+"""
"743593,744249,""+"""
"744243,745175,""+"""
"745165,745899,""+"""
"745935,746726,""+"""
"746723,747769,""-"""
"747921,748982,""-"""
"748979,749707,""-"""
"749722,752169,""-"""
"752229,752795,""-"""
"753185,754468,""-"""
"755177,755566,""+"""
"755560,755907,""+"""
"755907,757673,""+"""
"757689,758405,""+"""
"758706,761507,""+"""
"761522,762739,""+"""
"763014,764180,""+"""
"764180,765049,""+"""
"765153,765875,""-"""
"765984,767960,""+"""
"767978,770611,""+"""
"771458,773026,""+"""
"773042,774181,""+"""
"774196,774309,""+"""
"774309,774602,""+"""
"774752,775156,""+"""
"775153,775845,""+"""
"775849,776277,""+"""
"776342,777607,""+"""
"777740,779032,""+"""
"779067,779588,""+"""
"779598,780389,""+"""
"782085,783128,""+"""
"783166,783885,""+"""
"783882,784823,""-"""
"784937,785317,""-"""
"785633,786685,""+"""
"786843,787595,""-"""
"787797,788837,""-"""
"788831,789979,""-"""
"789983,791029,""-"""
"791039,792055,""-"""
"792316,793788,""-"""
"793856,794644,""-"""
"794773,794922,""+"""
"795089,795862,""+"""
"795862,796551,""+"""
"796554,797612,""+"""
"797613,798431,""-"""
"798586,799581,""+"""
"799622,800575,""-"""
"800759,801811,""+"""
"801887,803320,""+"""
"803503,805764,""+"""
"805998,807281,""-"""
"807433,807909,""-"""
"807968,809257,""-"""
"809344,810384,""+"""
"810381,811535,""+"""
"811522,812277,""+"""
"812270,812947,""+"""
"813526,815547,""+"""
"815739,816647,""-"""
"817044,818033,""+"""
"818055,818567,""+"""
"818570,819055,""+"""
"819048,819293,""+"""
"819295,819747,""+"""
"819884,820588,""+"""
"820793,821506,""+"""
"821542,822498,""-"""
"822498,823739,""-"""
"823736,824497,""-"""
"824630,825040,""+"""
"825002,826108,""-"""
"826119,827252,""-"""
"827245,828981,""-"""
"828974,829972,""-"""
"829972,830643,""-"""
"830872,832236,""+"""
"832468,832950,""-"""
"833070,835220,""+"""
"835248,836210,""+"""
"836351,837436,""+"""
"837665,837925,""-"""
"838190,838456,""-"""
"838530,839207,""-"""
"839249,841531,""-"""
"841796,842056,""-"""
"842332,843258,""+"""
"843255,845480,""-"""
"845741,846463,""-"""
"846460,847119,""-"""
"847258,848004,""-"""
"848408,848911,""-"""
"849210,850097,""-"""
"850450,850965,""+"""
"851014,852597,""-"""
"852869,852997,""-"""
"853183,853650,""+"""
"853647,854765,""+"""
"854824,855744,""-"""
"855963,857555,""+"""
"857796,859061,""-"""
"859213,860028,""-"""
"860174,862606,""-"""
"862612,863511,""-"""
"863642,864304,""+"""
"864380,865129,""-"""
"865129,866364,""-"""
"866568,867533,""+"""
"867520,869391,""+"""
"869411,870949,""+"""
"870967,871887,""+"""
"871890,872801,""+"""
"872979,875327,""+"""
"875335,876663,""+"""
"876710,878035,""-"""
"878248,878631,""+"""
"878742,879857,""+"""
"879854,880480,""-"""
"880727,881929,""+"""
"881976,882734,""-"""
"882792,883388,""-"""
"883673,884905,""+"""
"884946,885230,""-"""
"885316,886131,""-"""
"886131,887339,""-"""
"887423,887959,""+"""
"888134,889819,""-"""
"890089,890466,""+"""
"890496,890753,""-"""
"890913,891200,""+"""
"891184,891906,""+"""
"891967,892869,""+"""
"892957,893433,""+"""
"893784,894896,""+"""
"894991,896124,""+"""
"896134,897087,""+"""
"897084,897929,""+"""
"897989,898477,""+"""
"898518,899645,""+"""
"899844,900575,""-"""
"900866,901534,""-"""
"901534,902250,""-"""
"902257,902988,""-"""
"903006,903734,""-"""
"903952,904467,""-"""
"904593,904916,""+"""
"904913,905743,""+"""
"905740,906753,""-"""
"906852,908282,""-"""
"908293,909294,""-"""
"909331,911049,""-"""
"911182,912150,""-"""
"912162,913814,""-"""
"913958,914857,""-"""
"915352,916047,""-"""
"916473,918131,""+"""
"918128,919120,""-"""
"919235,920350,""+"""
"920347,922293,""+"""
"922366,922590,""-"""
"922913,923233,""+"""
"923264,925540,""+"""
"926225,926443,""-"""
"926728,927432,""-"""
"927474,929195,""-"""
"929196,930962,""-"""
"931085,932050,""-"""
"932595,933089,""+"""
"933224,937213,""+"""
"937372,937983,""+"""
"937994,939337,""+"""
"939428,940720,""+"""
"940959,943403,""+"""
"943414,944031,""+"""
"944033,944896,""+"""
"944931,945557,""-"""
"945871,947019,""+"""
"947229,948659,""+"""
"948660,949568,""-"""
"949668,950258,""+"""
"950340,951080,""-"""
"951272,953554,""-"""
"953609,954466,""-"""
"954872,956632,""-"""
"956762,957454,""+"""
"957653,958741,""+"""
"958812,960095,""+"""
"960264,961028,""+"""
"961201,961884,""+"""
"961995,963668,""+"""
"963828,964112,""+"""
"964320,966584,""+"""
"966621,968369,""+"""
"968366,969352,""+"""
"969389,970621,""+"""
"970673,970855,""+"""
"970852,971598,""+"""
"971752,972645,""+"""
"972622,973401,""-"""
"973537,974322,""+"""
"974319,975641,""+"""
"975622,976326,""+"""
"976326,980786,""+"""
"981047,982894,""+"""
"983075,983623,""+"""
"983650,984297,""+"""
"984519,985709,""-"""
"985894,986982,""-"""
"987585,988985,""-"""
"989154,990356,""-"""
"990622,993234,""+"""
"993277,994044,""-"""
"994041,994832,""-"""
"994843,995988,""-"""
"995985,996944,""-"""
"996937,997512,""-"""
"997868,998407,""+"""
"998490,999191,""+"""
"999216,1001816,""+"""
"1001807,1002877,""+"""
"1002889,1003431,""+"""
"1003439,1003954,""+"""
"1003947,1004657,""+"""
"1004768,1005778,""+"""
"1005952,1006494,""+"""
"1006491,1007600,""-"""
"1007844,1009952,""+"""
"1009964,1011871,""+"""
"1012001,1013254,""+"""
"1013259,1014899,""+"""
"1014896,1015459,""+"""
"1015715,1015882,""+"""
"1015952,1016470,""-"""
"1016539,1018299,""-"""
"1018485,1018937,""+"""
"1019013,1020053,""-"""
"1020410,1020919,""-"""
"1021138,1021767,""+"""
"1021730,1023883,""-"""
"1023902,1024348,""-"""
"1024471,1026525,""+"""
"1026557,1027015,""-"""
"1027111,1027773,""-"""
"1027946,1028359,""+"""
"1028404,1028721,""-"""
"1028779,1029969,""-"""
"1030064,1030342,""+"""
"1030339,1030668,""-"""
"1030759,1031418,""-"""
"1032139,1033257,""+"""
"1033254,1035047,""+"""
"1035066,1035773,""+"""
"1035770,1036357,""+"""
"1036354,1036752,""+"""
"1036749,1037606,""+"""
"1037740,1039284,""+"""
"1039296,1040432,""+"""
"1040445,1040537,""+"""
"1040617,1041915,""+"""
"1042030,1044210,""-"""
"1044230,1044676,""-"""
"1044664,1045803,""-"""
"1045849,1047945,""-"""
"1047945,1048691,""-"""
"1048688,1049332,""-"""
"1049439,1049744,""-"""
"1049833,1050108,""+"""
"1050027,1050530,""+"""
"1050963,1051175,""-"""
"1051461,1051673,""+"""
"1051847,1052077,""+"""
"1052067,1052240,""+"""
"1052289,1053362,""-"""
"1053434,1056178,""-"""
"1056261,1057289,""+"""
"1057262,1057954,""-"""
"1058084,1059256,""+"""
"1059256,1061802,""+"""
"1061799,1062398,""+"""
"1062550,1062855,""-"""
"1062855,1063775,""-"""
"1064036,1065292,""+"""
"1065585,1066826,""+"""
"1066864,1067091,""-"""
"1067112,1067708,""-"""
"1068081,1068254,""+"""
"1068511,1069839,""-"""
"1069860,1070354,""-"""
"1070365,1070955,""-"""
"1070965,1071765,""-"""
"1071773,1072159,""-"""
"1072171,1072863,""-"""
"1072863,1074011,""-"""
"1074242,1074880,""+"""
"1074920,1078882,""-"""
"1079305,1080813,""+"""
"1082243,1083370,""+"""
"1083376,1084647,""+"""
"1084992,1086056,""+"""
"1086106,1086519,""-"""
"1086521,1087846,""-"""
"1087839,1089857,""-"""
"1089866,1092289,""-"""
"1092876,1094234,""+"""
"1094275,1095141,""-"""
"1095138,1095437,""-"""
"1095843,1096829,""+"""
"1097886,1098824,""+"""
"1098879,1099616,""+"""
"1099640,1100194,""+"""
"1100296,1100787,""+"""
"1100851,1101684,""-"""
"1101711,1102127,""-"""
"1102152,1102541,""-"""
"1102546,1103196,""-"""
"1103951,1104406,""+"""
"1104447,1104902,""+"""
"1104961,1105293,""+"""
"1105414,1105725,""+"""
"1105820,1106353,""+"""
"1106355,1107776,""+"""
"1107784,1108941,""-"""
"1109335,1110870,""+"""
"1110863,1113406,""+"""
"1113579,1113806,""+"""
"1113807,1114181,""-"""
"1114264,1115490,""-"""
"1115662,1116582,""-"""
"1116807,1117859,""+"""
"1117901,1118476,""-"""
"1118480,1119046,""-"""
"1119307,1119447,""-"""
"1119468,1120586,""-"""
"1120701,1120955,""-"""
"1121242,1121487,""-"""
"1121561,1122607,""-"""
"1122713,1123273,""-"""
"1123407,1124054,""-"""
"1124118,1125326,""-"""
"1125562,1126146,""+"""
"1126157,1126804,""+"""
"1126806,1127729,""+"""
"1127839,1129374,""+"""
"1129414,1129830,""-"""
"1129835,1130128,""-"""
"1130204,1130863,""-"""
"1131018,1131434,""+"""
"1131438,1131842,""+"""
"1131854,1132549,""+"""
"1132574,1133782,""+"""
"1133802,1134557,""+"""
"1134729,1135511,""+"""
"1135564,1136262,""+"""
"1136274,1137371,""+"""
"1137371,1138312,""+"""
"1138378,1140021,""+"""
"1140033,1140986,""+"""
"1141182,1144367,""-"""
"1144502,1144822,""+"""
"1144940,1145899,""+"""
"1146011,1146595,""-"""
"1146794,1147315,""+"""
"1147367,1147540,""+"""
"1147621,1148691,""+"""
"1148759,1149712,""+"""
"1149728,1150657,""+"""
"1150670,1151404,""+"""
"1151615,1151851,""+"""
"1151939,1153180,""+"""
"1153300,1154109,""+"""
"1154112,1155134,""+"""
"1155124,1155765,""+"""
"1155762,1156766,""+"""
"1156777,1157574,""+"""
"1157869,1159302,""+"""
"1159362,1161551,""-"""
"1161885,1162244,""+"""
"1162247,1162624,""+"""
"1162638,1163279,""+"""
"1163260,1164084,""+"""
"1164095,1165120,""+"""
"1165143,1165685,""+"""
"1166085,1167389,""+"""
"1167599,1168138,""+"""
"1168200,1168832,""-"""
"1169073,1169330,""+"""
"1169412,1170374,""-"""
"1170518,1173964,""-"""
"1174092,1175165,""-"""
"1175427,1176626,""+"""
"1176619,1177320,""+"""
"1177320,1178564,""+"""
"1178593,1179504,""+"""
"1179631,1180359,""+"""
"1180479,1181267,""-"""
"1181264,1181725,""-"""
"1181783,1182829,""-"""
"1182826,1183620,""-"""
"1183617,1184444,""-"""
"1184458,1185594,""-"""
"1185844,1187070,""+"""
"1187119,1188240,""-"""
"1188316,1189776,""-"""
"1189776,1190447,""-"""
"1190616,1191986,""-"""
"1191990,1192631,""-"""
"1192667,1193773,""-"""
"1193827,1194288,""-"""
"1194298,1194951,""-"""
"1195123,1196373,""+"""
"1196867,1197532,""-"""
"1197533,1198237,""-"""
"1198695,1199588,""+"""
"1199679,1200806,""-"""
"1200787,1201032,""-"""
"1201497,1201838,""+"""
"1201776,1202084,""-"""
"1202259,1202933,""-"""
"1203024,1203224,""+"""
"1203268,1203825,""+"""
"1203822,1204160,""+"""
"1205549,1205731,""+"""
"1206913,1207497,""+"""
"1207501,1208130,""+"""
"1208132,1208545,""+"""
"1208517,1209119,""-"""
"1209685,1210239,""+"""
"1210346,1211179,""+"""
"1211680,1212003,""-"""
"1212703,1213107,""-"""
"1213328,1214059,""-"""
"1214264,1215475,""-"""
"1215789,1216025,""+"""
"1216068,1216340,""+"""
"1216369,1216635,""+"""
"1216748,1216996,""+"""
"1217328,1218851,""+"""
"1218983,1219201,""+"""
"1222305,1222634,""-"""
"1222644,1222988,""-"""
"1222990,1223163,""-"""
"1223264,1223449,""+"""
"1224279,1224545,""-"""
"1224549,1225361,""-"""
"1225385,1226080,""-"""
"1226600,1226968,""+"""
"1227071,1227472,""-"""
"1227714,1228007,""+"""
"1228079,1228738,""+"""
"1228815,1229276,""+"""
"1229483,1230394,""-"""
"1230767,1231186,""+"""
"1231186,1232454,""+"""
"1232500,1233030,""-"""
"1233176,1234717,""-"""
"1234938,1235657,""+"""
"1235709,1237241,""-"""
"1237571,1238869,""+"""
"1238879,1239949,""+"""
"1240335,1242071,""-"""
"1242166,1243080,""-"""
"1243180,1243791,""+"""
"1243793,1244527,""-"""
"1244728,1244982,""+"""
"1245160,1245600,""+"""
"1245679,1247376,""-"""
"1247696,1249114,""-"""
