"Start","Stop","Strand"
455034,456314,"+"
456380,457642,"+"
457645,458649,"+"
458732,459022,"-"
459000,459140,"-"
459245,459442,"+"
459545,460843,"+"
460994,461419,"+"
461456,463888,"+"
463979,464701,"+"
464827,466464,"+"
466455,466730,"-"
466868,467176,"-"
467386,468102,"+"
468099,468854,"-"
468962,470026,"-"
470389,471789,"+"
471850,472107,"+"
472117,472584,"+"
472598,473248,"+"
473258,474112,"+"
474112,474798,"+"
474862,476055,"-"
476205,476480,"-"
476821,477216,"+"
477541,477768,"+"
477810,478259,"+"
478368,479042,"-"
479261,479881,"+"
480186,481589,"+"
481694,482356,"-"
482439,483410,"-"
483486,484310,"-"
484388,485236,"-"
485326,485697,"+"
485752,487695,"-"
487935,488630,"+"
488620,489177,"-"
489501,489707,"+"
489970,491307,"-"
491488,492126,"-"
492335,494068,"+"
494065,497841,"+"
497898,498188,"+"
498226,499392,"-"
499548,500735,"-"
500810,501340,"-"
501795,502700,"+"
502713,502841,"-"
502824,504326,"+"
504337,505362,"+"
505373,506347,"+"
506390,507388,"-"
507564,508937,"+"
509006,509533,"+"
509577,510785,"-"
510970,511086,"+"
511800,512351,"-"
512459,513799,"+"
513836,514222,"+"
514277,514408,"-"
514512,514850,"+"
514861,515223,"+"
515226,515525,"+"
515547,516323,"+"
516337,516981,"+"
517087,518220,"+"
518204,519322,"+"
519319,520059,"+"
520126,521280,"+"
521303,523213,"+"
523291,523533,"+"
523523,523807,"+"
523811,524275,"-"
524516,526654,"-"
526924,527052,"+"
527011,527754,"-"
527757,527930,"-"
528060,528323,"+"
528414,529721,"+"
529748,531100,"+"
531156,532811,"-"
532863,534281,"-"
534412,535359,"-"
535739,538447,"+"
538520,538906,"-"
539059,539520,"-"
539534,540469,"-"
540805,541257,"+"
541315,541446,"+"
541500,542474,"+"
542486,543316,"+"
543411,544976,"+"
545033,546451,"+"
546536,547261,"+"
547264,548268,"-"
548432,548854,"+"
548913,549677,"+"
549939,550442,"-"
550563,553418,"-"
553418,553861,"-"
553981,555492,"-"
555882,556979,"+"
556979,558061,"+"
558110,559612,"-"
559711,560532,"-"
560883,562388,"+"
562407,563216,"+"
564320,565177,"-"
565329,567242,"-"
567502,567663,"-"
567748,569688,"+"
569735,570748,"+"
570790,571674,"+"
571698,572597,"+"
572741,574051,"-"
574044,575117,"-"
575123,575947,"-"
575958,576845,"-"
576835,577719,"-"
577850,578869,"-"
578981,580450,"-"
580447,581127,"-"
581952,583214,"+"
583272,584282,"-"
584693,584806,"+"
584770,585849,"-"
586054,587022,"+"
587435,587584,"-"
587656,588222,"-"
588240,588485,"-"
588482,589219,"-"
589780,590046,"+"
590397,590591,"+"
590588,590815,"+"
590812,591132,"+"
591147,593480,"+"
594225,594491,"+"
594569,594724,"-"
594857,595336,"+"
595451,595678,"+"
595870,596085,"-"
596352,596699,"-"
596701,597375,"-"
597730,597912,"-"
598562,599431,"-"
599611,600249,"+"
600332,602011,"-"
602070,603509,"-"
603936,605255,"+"
605283,605396,"+"
605527,606909,"+"
607204,608085,"-"
608160,608711,"-"
608708,609232,"-"
609229,609714,"-"
609711,610931,"-"
610928,611650,"-"
611652,612911,"-"
612908,613627,"-"
613624,614058,"-"
614290,615018,"-"
615135,615668,"+"
615678,616025,"-"
616098,619247,"-"
619259,620521,"-"
620567,620911,"-"
620929,622314,"-"
622281,622421,"-"
622486,623169,"+"
623159,624592,"+"
624695,624961,"+"
624972,625505,"+"
625553,626674,"-"
632375,632542,"+"
632865,633182,"+"
633223,634347,"-"
634347,637091,"-"
637088,638155,"-"
638462,639469,"-"
639974,640957,"+"
641008,642492,"+"
642485,643456,"+"
643453,644409,"+"
644446,645228,"-"
645315,646223,"+"
646217,646636,"+"
646708,648120,"-"
648298,648462,"+"
648627,649091,"+"
649098,650165,"+"
650155,651219,"+"
651216,651470,"-"
651467,652234,"-"
652244,653395,"-"
653493,653732,"-"
653758,654999,"-"
655053,656345,"-"
656338,657000,"-"
657048,657863,"-"
658080,659006,"+"
659165,660535,"+"
660633,661178,"-"
661570,662526,"-"
662538,662741,"-"
662851,665001,"-"
665386,666009,"+"
666137,666847,"+"
666922,667434,"-"
667454,669016,"-"
669242,670132,"-"
670142,671500,"-"
671522,672319,"-"
672330,673133,"-"
673242,673622,"-"
673632,674489,"-"
674491,675957,"-"
675954,676718,"-"
676715,677347,"-"
677405,677569,"-"
677634,678074,"+"
678037,678366,"+"
678356,678604,"+"
678641,679657,"+"
679776,680996,"-"
681040,681219,"-"
681197,682636,"+"
682647,683039,"+"
683225,684712,"+"
684722,685594,"+"
685581,686180,"+"
686177,687040,"-"
687110,687646,"-"
687676,688512,"+"
688516,689877,"-"
690057,690971,"-"
691108,692130,"+"
692142,693587,"+"
693724,696489,"+"
696590,697012,"+"
697027,697497,"+"
697514,698293,"+"
698271,699122,"+"
699135,700196,"+"
700214,701224,"+"
701358,702302,"+"
702357,704648,"-"
704906,705397,"-"
705463,706200,"-"
706203,706742,"-"
706845,707318,"-"
707309,708085,"-"
708158,708337,"+"
708365,709549,"+"
709566,710447,"+"
710713,711435,"+"
711396,712070,"+"
712076,712534,"-"
712873,714216,"+"
714266,715054,"-"
715161,716207,"-"
716231,716401,"-"
716409,716711,"+"
717224,718252,"-"
718355,718768,"+"
718737,719183,"+"
719198,719875,"+"
719966,721555,"+"
721775,722395,"+"
722525,722686,"+"
722840,723913,"+"
723910,724704,"+"
724835,726112,"+"
726508,727308,"+"
727422,728744,"+"
728797,730020,"+"
730123,730842,"+"
730923,731939,"-"
731939,732586,"-"
732691,733662,"+"
733672,735054,"+"
735076,736308,"+"
736401,738068,"-"
738297,740234,"+"
740323,740652,"+"
740639,741154,"-"
741268,741915,"+"
741912,742781,"-"
742991,743464,"+"
743477,744166,"+"
744166,745590,"+"
745651,747009,"+"
747072,747788,"-"
748421,749107,"+"
749150,749266,"+"
749468,751930,"+"
751932,752861,"+"
752865,754145,"+"
754461,754838,"+"
754907,755680,"-"
755758,757188,"-"
757391,758344,"+"
758444,759031,"+"
759151,760455,"+"
760518,761084,"-"
761173,761898,"-"
761926,762330,"-"
762716,764632,"+"
764720,765853,"+"
765983,767206,"+"
767261,768157,"+"
768167,768280,"+"
768277,768462,"-"
768921,769808,"+"
769816,772668,"+"
772668,773168,"+"
773284,773733,"+"
773735,774685,"+"
774752,775666,"+"
776010,776939,"-"
777032,777661,"+"
777667,778371,"-"
778364,780079,"-"
780164,781465,"-"
781481,783265,"-"
783281,783532,"-"
783679,785019,"-"
785276,786304,"+"
786335,786628,"+"
786625,787494,"+"
787505,789031,"+"
789050,789958,"+"
790187,791008,"+"
791029,791163,"+"
791245,791400,"-"
791466,792614,"+"
792632,795856,"+"
796026,796259,"+"
796391,796924,"+"
796917,798782,"+"
798956,799435,"+"
799691,800539,"-"
800544,800921,"-"
800924,801745,"-"
801742,802731,"-"
802737,804023,"-"
804078,806393,"-"
806670,807497,"+"
807530,808228,"-"
808218,809843,"-"
810168,811532,"+"
811561,811749,"-"
811712,812251,"+"
812326,812985,"-"
812998,815841,"-"
816092,818449,"-"
818625,819320,"-"
819458,820960,"-"
820971,822680,"-"
822862,823032,"-"
823018,823863,"+"
823992,824759,"+"
824746,825447,"-"
825431,827041,"-"
827017,828000,"-"
828290,829945,"-"
830033,830185,"+"
830273,830443,"+"
830453,831637,"+"
831671,832981,"-"
833213,834109,"+"
834147,834902,"-"
834933,836147,"-"
836158,837021,"-"
837033,839066,"-"
839462,840067,"-"
840078,841478,"-"
841481,842572,"-"
842572,844143,"-"
844711,844830,"-"
844939,845907,"+"
846326,848026,"+"
847999,848520,"+"
848701,849705,"+"
850346,850804,"+"
850807,851748,"+"
851901,852110,"+"
852126,853892,"+"
853879,855366,"+"
855363,856721,"+"
856715,857797,"+"
857800,859116,"+"
859116,860390,"+"
860387,861457,"+"
861454,861567,"-"
861520,862980,"+"
862973,863893,"+"
863862,864725,"+"
864722,865984,"+"
866047,867198,"+"
867380,867535,"-"
867512,868216,"+"
868548,869036,"+"
869099,871804,"+"
871863,872255,"+"
872308,872502,"-"
872512,873255,"-"
873255,873962,"-"
874031,874162,"+"
874219,875262,"+"
875299,876504,"-"
876494,877879,"-"
877890,878321,"-"
878503,879396,"-"
879530,880093,"+"
880090,880944,"+"
881180,882130,"-"
882130,883536,"-"
883721,885091,"-"
885104,885217,"+"
885735,886514,"+"
886651,889314,"+"
889329,891227,"+"
891434,892858,"+"
893023,893307,"+"
893353,894159,"-"
894171,895778,"-"
895871,895999,"+"
896288,898807,"+"
898994,899356,"+"
899429,900223,"-"
900248,901108,"-"
901258,902475,"-"
902508,903386,"-"
903383,903625,"-"
903749,904006,"-"
904056,905024,"+"
905070,905657,"-"
905654,906064,"-"
906312,906671,"-"
906805,908403,"+"
908487,910877,"-"
910958,911077,"+"
911082,911618,"+"
911678,912292,"-"
912525,913451,"+"
913451,914218,"+"
914341,914781,"+"
914840,916093,"+"
916129,916506,"-"
916602,917456,"-"
917468,918259,"-"
918380,918859,"-"
918856,920166,"-"
920313,921194,"-"
921254,921709,"-"
921872,922588,"-"
922588,923124,"-"
923197,925626,"+"
925674,926474,"-"
926471,927217,"-"
927207,927692,"-"
927685,928878,"-"
928865,929818,"-"
929848,930444,"-"
930441,930806,"-"
930803,931318,"-"
931318,931740,"-"
931761,932975,"-"
932977,934470,"-"
934467,936440,"-"
936450,937292,"-"
937277,937414,"-"
937794,940907,"+"
941100,941885,"-"
941942,942463,"-"
942612,943169,"+"
943208,943609,"-"
943645,943779,"-"
943812,943976,"+"
944170,946722,"+"
946930,947073,"-"
947035,949164,"+"
949210,950007,"+"
950007,950897,"+"
950894,952876,"+"
953013,954293,"-"
954381,955892,"+"
955974,956318,"+"
956390,957013,"-"
957050,957850,"-"
957843,958541,"-"
958625,960139,"+"
960388,961707,"+"
961820,963031,"+"
963150,963536,"-"
963644,964468,"-"
964499,967102,"-"
967220,968014,"-"
968352,969062,"+"
969182,970033,"+"
970184,970909,"+"
971060,971617,"+"
971846,973048,"+"
973268,974044,"+"
974057,974914,"+"
974926,976278,"+"
976310,978739,"+"
978861,979346,"+"
979350,980375,"+"
980481,980936,"+"
980940,981728,"+"
981728,982879,"+"
982876,983475,"+"
983493,986975,"+"
986988,987947,"+"
988024,990213,"+"
990260,990649,"+"
990703,992016,"+"
992030,992290,"-"
992674,993219,"+"
993216,993629,"+"
993651,994370,"+"
994502,995278,"-"
995404,997122,"-"
997235,997942,"-"
997939,998295,"-"
998454,999269,"-"
999313,999966,"-"
999959,1000990,"-"
1001179,1001745,"+"
1007491,1008294,"+"
1008340,1009245,"-"
1009350,1010540,"+"
1010643,1011440,"+"
1011532,1012302,"+"
1012360,1013415,"-"
1013799,1014554,"-"
1014641,1015309,"+"
1015306,1015773,"-"
1015838,1016569,"+"
1016839,1017720,"-"
1017824,1018414,"+"
1018445,1019230,"-"
1019394,1021838,"-"
1022078,1022659,"+"
1022734,1023501,"+"
1023472,1024212,"-"
1024624,1025967,"+"
1025971,1027209,"+"
1027202,1027996,"+"
1027989,1028627,"+"
1028634,1029230,"+"
1029243,1030466,"+"
1030469,1030684,"+"
1030997,1031857,"-"
1032017,1033072,"+"
1033075,1033527,"+"
1033570,1035027,"-"
1035285,1035743,"+"
1035849,1037093,"+"
1037151,1037549,"+"
1037635,1038327,"-"
1038373,1039773,"-"
1039909,1041192,"-"
1041205,1042653,"-"
1042679,1043947,"-"
1043975,1044991,"-"
1045414,1045671,"+"
1045729,1046478,"+"
1046519,1047157,"-"
1047375,1048637,"-"
1048726,1049721,"-"
1049738,1050499,"-"
1050511,1052049,"-"
1052070,1052621,"-"
1052636,1053427,"-"
1053941,1054150,"-"
1054369,1055766,"-"
1055756,1057291,"-"
1057295,1058314,"-"
1058326,1059285,"-"
1059658,1062303,"+"
1063036,1063200,"-"
1063752,1063883,"+"
1064223,1066556,"-"
1066571,1066891,"-"
1066888,1067067,"-"
1067112,1067306,"-"
1067666,1067932,"-"
1068037,1068174,"+"
1068474,1069211,"+"
1069208,1069453,"+"
1069471,1070037,"+"
1070606,1071031,"-"
1071031,1071981,"-"
1071969,1073159,"-"
1073512,1074765,"-"
1074776,1075879,"-"
1076034,1076156,"-"
1076169,1077221,"+"
1077267,1077833,"-"
1078246,1079115,"+"
1079211,1079876,"+"
1080454,1080591,"-"
1081286,1082170,"-"
1082167,1083039,"-"
1083106,1084044,"-"
1084067,1084909,"-"
1085757,1086299,"+"
1086374,1086961,"+"
1087020,1087688,"+"
1087714,1090239,"+"
1090229,1091872,"+"
1091886,1092551,"+"
1092555,1093244,"-"
1093234,1093986,"-"
1093983,1094801,"-"
1094803,1095612,"-"
1095984,1096115,"+"
1096232,1096927,"-"
1096920,1097702,"-"
1097689,1098738,"-"
1098738,1099637,"-"
1099657,1100763,"-"
1100756,1100899,"+"
1101339,1102115,"-"
1102112,1103500,"-"
1103510,1104889,"-"
1104952,1105080,"+"
1105163,1106572,"+"
1106559,1107491,"+"
1107731,1108693,"+"
1108705,1109472,"+"
1109469,1110296,"+"
1110293,1111144,"+"
1111300,1113018,"-"
1113347,1114321,"-"
1114428,1115588,"-"
1115807,1116319,"+"
1116437,1117657,"+"
1117676,1118782,"+"
1118779,1119081,"-"
1119334,1119537,"+"
1119570,1120700,"-"
1120767,1121450,"+"
1121620,1122819,"+"
1123119,1123379,"+"
1123469,1124899,"+"
1124991,1125308,"+"
1125376,1126185,"-"
1126302,1126760,"+"
1126757,1127467,"-"
1127796,1128329,"+"
1128437,1128592,"+"
1128843,1129523,"+"
1129601,1129885,"+"
1129957,1130868,"-"
1130960,1131874,"+"
1131948,1135085,"-"
1135082,1136287,"-"
1136470,1137159,"+"
1137181,1138476,"+"
1138890,1140209,"+"
1140296,1141669,"+"
1141821,1143638,"+"
1143635,1144537,"-"
1144804,1145445,"+"
1145632,1146177,"+"
1146202,1148070,"+"
1148129,1148983,"-"
1149019,1149981,"-"
1150047,1151438,"-"
1151459,1151746,"-"
1151752,1152195,"-"
1152251,1152418,"+"
1152542,1153144,"-"
1153272,1153853,"-"
1153928,1154044,"+"
1154109,1155173,"+"
1155282,1156409,"+"
1156432,1156764,"+"
1156824,1158638,"+"
1158649,1159620,"+"
1159757,1160122,"+"
1160146,1160841,"+"
1160896,1161780,"-"
1162079,1162618,"-"
1162766,1163215,"+"
1163219,1164322,"+"
1164410,1164880,"+"
1164900,1165319,"+"
1165391,1166362,"+"
1166391,1166858,"+"
1166904,1167878,"-"
1167939,1169801,"-"
1169820,1170719,"-"
1170720,1170962,"-"
1171144,1172592,"+"
1172659,1172952,"-"
1173186,1173779,"-"
1173742,1174653,"-"
1174845,1175336,"+"
1175380,1176744,"-"
1176904,1178082,"-"
1178413,1179777,"-"
1179788,1180606,"-"
1180664,1182361,"-"
1182372,1182692,"-"
1182706,1184382,"-"
1184379,1185200,"-"
1185353,1186111,"+"
1186151,1186483,"-"
1186733,1187620,"-"
1187632,1187961,"-"
1187961,1188506,"-"
1188562,1190553,"-"
1190573,1191391,"-"
1191997,1193472,"-"
1193516,1194094,"-"
1194397,1194714,"+"
1194674,1194853,"+"
1195060,1196358,"+"
1196707,1197291,"+"
1197542,1198816,"+"
1198985,1199137,"-"
1199129,1201354,"+"
1201564,1201836,"+"
1202051,1203925,"+"
1204074,1204442,"+"
1204554,1204955,"+"
1205067,1205768,"-"
1205835,1207535,"-"
1207663,1208481,"+"
1208526,1209578,"-"
1209694,1210152,"+"
1210196,1211968,"+"
1211961,1213739,"+"
1213983,1214321,"+"
1214355,1215641,"+"
1215696,1216559,"-"
1216776,1217267,"+"
1217305,1217616,"-"
1217684,1218091,"-"
1218738,1218995,"+"
1218992,1219207,"+"
1219342,1220769,"-"
1220858,1221472,"+"
1221517,1222398,"-"
1222590,1222835,"+"
1222870,1224411,"-"
1224663,1225724,"-"
1225947,1226090,"+"
1226129,1227361,"+"
1227424,1228731,"+"
1228742,1229593,"+"
1229598,1230800,"+"
1230832,1232889,"+"
1232954,1233268,"+"
1233405,1233956,"-"
1233991,1234677,"-"
1234948,1236018,"+"
1236134,1236397,"+"
1236397,1236579,"+"
1236533,1237231,"-"
1237332,1238783,"+"
1238758,1239228,"-"
1239249,1239389,"+"
1239361,1239927,"-"
1240086,1240304,"-"
1240331,1240705,"-"
1241191,1244337,"-"
1244360,1245553,"-"
1245696,1246346,"+"
1246476,1249823,"+"
1249859,1250758,"-"
1250826,1250999,"-"
1251012,1251539,"-"
1251609,1251986,"+"
1252137,1252688,"+"
1252850,1254052,"+"
1254081,1254689,"+"
1254747,1255079,"+"
1255079,1255684,"+"
1255796,1257670,"+"
1257893,1258537,"+"
1258666,1259628,"+"
1259692,1260996,"+"
1261032,1262708,"-"
1262677,1262799,"+"
1262820,1262933,"+"
1262934,1264154,"-"
1264450,1266102,"+"
1266208,1266687,"-"
1266890,1267684,"-"
1267816,1270371,"-"
1270498,1270833,"+"
1270830,1271288,"-"
1271285,1272202,"-"
1272343,1273020,"+"
1273007,1273789,"+"
1273897,1274751,"-"
1274810,1275619,"-"
1275609,1276232,"-"
1276203,1276889,"+"
1276886,1279300,"+"
1279277,1279390,"-"
1279482,1280627,"+"
1280735,1281811,"-"
1281923,1282990,"-"
1282987,1283496,"-"
1283593,1283931,"-"
1284039,1284761,"-"
1284765,1285259,"-"
1285435,1286820,"+"
1286863,1287075,"-"
1287077,1287943,"-"
1288374,1289537,"-"
1289751,1289966,"-"
1290183,1290953,"-"
1290950,1291477,"-"
1291629,1292252,"-"
1292249,1292584,"-"
1292554,1292751,"-"
1292763,1293047,"-"
1293327,1293452,"-"
1293851,1293973,"-"
1294560,1294928,"-"
1295351,1295578,"+"
1295618,1295839,"+"
1295925,1296071,"+"
1296112,1296963,"+"
1296968,1298383,"+"
1298383,1298676,"+"
1298673,1299179,"+"
1299293,1299424,"+"
1299417,1300091,"+"
1300606,1301559,"+"
1302060,1302515,"+"
1302678,1303316,"+"
1303489,1303611,"+"
1305332,1305580,"+"
1305583,1306113,"+"
1306110,1306499,"+"
1306714,1306836,"+"
1306958,1307593,"+"
1307732,1308109,"+"
1308111,1309787,"+"
1309788,1311308,"+"
1311361,1312050,"+"
1312172,1312327,"+"
1312490,1313497,"+"
1313574,1313696,"-"
1313677,1314939,"-"
1315171,1316139,"-"
1316336,1316659,"+"
1316661,1317143,"+"
1317143,1318180,"+"
1318182,1318508,"+"
1318954,1319517,"+"
1319649,1319882,"+"
1319864,1320415,"+"
1320419,1321900,"+"
1321900,1322343,"+"
1322524,1323081,"+"
1323161,1323637,"+"
1323715,1323858,"+"
1323839,1325764,"+"
1325768,1326610,"+"
1328964,1329224,"-"
1329442,1329618,"+"
1329725,1330663,"+"
1330731,1331087,"+"
1331095,1332327,"+"
1332320,1332907,"+"
1332909,1334033,"+"
1334070,1338422,"+"
1339913,1340314,"+"
1340393,1340563,"-"
1340888,1341028,"+"
1341074,1342378,"+"
1342431,1342736,"-"
1342714,1343376,"-"
1343848,1344408,"+"
1344467,1345162,"+"
1345173,1347608,"+"
1347610,1348635,"+"
1348658,1349524,"-"
1350035,1350955,"+"
1351056,1351328,"+"
1351621,1353189,"+"
1353555,1354889,"+"
1354972,1357119,"+"
1357179,1358654,"+"
1358986,1360503,"+"
1360580,1361005,"-"
1361577,1362497,"+"
1362494,1363666,"+"
1363676,1364707,"+"
1365091,1366098,"-"
1366200,1367219,"+"
1367649,1368572,"+"
1368605,1370089,"+"
1370109,1371131,"+"
1371137,1371274,"-"
1371315,1371923,"+"
